dma,2015+diarrhea,2015+obesity,2015+diabetes,2015+cancer,2015+depression,2016+diarrhea,2016+obesity,2016+diabetes,2016+cancer,2016+depression,2017+diarrhea,2017+obesity,2017+diabetes,2017+cancer,2017+depression
Cheyenne WY-Scottsbluff NE,77,60,69,63,65,94,48,71,64,59,85,47,80,64,59
Twin Falls ID,59,67,69,56,83,74,54,73,50,58,75,47,69,49,65
Missoula MT,62,59,73,61,67,70,51,78,59,57,64,46,81,59,63
Rapid City SD,73,52,67,56,76,69,46,78,59,63,66,64,74,59,59
El Paso TX,52,59,77,50,53,68,58,94,61,59,66,53,82,59,67
Helena MT,83,50,90,63,61,70,64,97,60,68,69,46,93,67,64
Casper-Riverton WY,63,58,71,58,71,81,47,87,54,62,75,45,80,59,66
Salt Lake City UT,67,58,72,54,67,71,52,79,55,64,69,54,75,55,66
Yuma AZ-El Centro CA,64,72,72,58,65,69,55,75,55,58,71,48,80,57,60
Grand Junction-Montrose CO,65,53,75,63,71,70,54,76,62,64,66,56,72,57,61
Tucson (Sierra Vista) AZ,68,62,77,66,68,76,60,83,67,62,73,55,79,65,63
Albuquerque-Santa Fe NM,67,53,76,62,64,70,47,83,61,61,68,49,80,61,64
Glendive MT,0,0,0,72,0,0,0,0,63,0,0,0,0,58,0
Bakersfield CA,67,60,75,58,60,75,52,79,60,56,77,51,78,59,60
Eugene OR,66,70,70,59,66,66,75,78,59,63,65,86,79,61,59
Eureka CA,59,51,60,59,74,56,46,64,55,62,61,47,66,61,67
Los Angeles CA,58,52,63,57,55,62,49,73,58,53,61,53,74,59,58
Palm Springs CA,59,43,64,69,58,59,38,76,68,50,78,47,81,64,52
San Francisco-Oakland-San Jose CA,53,43,61,57,50,50,45,68,56,48,50,45,67,56,52
Yakima-Pasco-Richland-Kennewick WA,70,57,83,61,62,73,50,82,58,62,72,48,80,58,62
Reno NV,69,57,65,57,57,75,47,70,60,53,68,54,69,59,60
Medford-Klamath Falls OR,68,62,71,60,63,77,52,77,62,56,66,40,79,64,63
Seattle-Tacoma WA,61,45,64,57,57,63,43,72,58,53,63,46,71,57,56
Portland OR,44,42,57,46,45,59,53,75,56,54,59,58,73,56,58
Bend OR,63,54,62,67,59,63,41,61,66,57,55,50,61,60,59
San Diego CA,60,57,68,60,54,64,52,77,61,53,61,56,76,61,59
Monterey-Salinas CA,51,72,56,55,62,53,64,70,53,58,51,64,67,57,66
Las Vegas NV,65,43,70,58,53,65,38,69,59,48,65,42,70,59,52
Santa Barbara-Santa Maria-San Luis Obispo CA,57,56,57,57,63,54,54,63,57,55,56,53,63,53,59
Sacramento-Stockton-Modesto CA,62,58,73,61,61,65,48,75,58,54,66,55,76,59,55
Fresno-Visalia CA,67,58,65,61,64,73,64,81,55,61,73,63,77,56,68
Chico-Redding CA,67,60,66,62,67,74,63,75,59,59,70,62,75,58,63
Spokane WA,70,66,68,61,67,69,52,79,62,63,75,53,73,63,61
